app_id,filename
284602850,No data found
284736660,Ms. PAC-MAN 2017年06月28日12点已下架 开发者_ BANDAI NAMCO En版本记录_2025-04-17.csv
284791396,Solitaire by MobilityWare 2020年12月31日04点已下架 开发者_ M版本记录_2025-04-17.csv
284862767,FreeCell 2020年12月31日04点已下架 开发者_ MobilityWare版本记录_2025-04-18.csv
285755462,Sudoku SE 开发者_ Mighty Mighty Good Games版本记录_2025-04-17.csv
301987699,FreeCell Solitaire Card Game 2020年12月31日04点已下架 Fun版本记录_2025-04-17.csv
303498337,GunApp 2020年12月31日04点已下架 开发者_ Mobile Dev Group LLC版本记录_2025-04-17.csv
304077942,Mega Poker Texas Holdem 2020年12月31日04点已下架 开发者_ Com版本记录_2025-04-18.csv
304093970,看动物，听声音 – 幼儿声音游戏 开发者_ Claireware Software版本记录_2025-04-17.csv
306126286,Arcade Hoops Basketball™ Free 开发者_ Skyworks Intera版本记录_2025-04-17.csv
307466242,数独 (Full Version) 2020年11月26日08点已下架 开发者_ genina.co版本记录_2025-04-17.csv
307751675,PopStar!消灭星星 2022年04月07日18点已下架 开发者_ Zplay (Beijing版本记录_2025-04-17.csv
309217339,Bridge Baron 2019年07月07日10点已下架 开发者_ Great Game Pro版本记录_2025-04-17.csv
309409628,Pyramid Solitaire - Card Game 2020年12月31日05点已下架 开发版本记录_2025-04-17.csv
311456818,UniWar_ Multiplayer Strategy 2020年12月31日04点已下架 Tur版本记录_2025-04-17.csv
312343159,The Moron Test_ IQ Brain Games 2020年12月31日04点已下架 T版本记录_2025-04-17.csv
315019111,经典滑块拼图游戏 - Unblock Me 2020年12月31日04点已下架 最棒的滑块益智游戏 版本记录_2025-04-17.csv
317917431,Paper Toss 2019年09月11日01点已下架 开发者_ Backflip Studios版本记录_2025-04-17.csv
321916506,Words With Friends Classic 2020年07月30日16点已下架 开发者_ 版本记录_2025-04-18.csv
323375748,锄大D - Big 2 Classic 2020年12月31日04点已下架 开发者_ 38 Soft版本记录_2025-04-18.csv
329218549,国际象棋-玩与学 2020年12月31日02点已下架 Chess.com - 在线国际象棋第一名 开版本记录_2025-04-18.csv
331128747,立刻斗地主 - Dou Di Zhu 2020年12月31日04点已下架 开发者_ 38 Softw版本记录_2025-04-18.csv
332424440,百万大富翁 2020年12月31日04点已下架 开发者_ Savy Soda Pty Ltd版本记录_2025-04-18.csv
334187594,百万富翁 Millionaire Tycoon™ 免费- 新的 Rich 房地产交易策略棋盘游戏 开版本记录_2025-04-18.csv
334615907,智能骰子 2025年04月08日00点已下架 开发者_ funchi版本记录_2025-04-18.csv
335618395,首都测验 2020年12月31日04点已下架 开发者_ Supergonk Ltd.版本记录_2025-04-18.csv
341541599,Canasta - The Card Game 2020年10月31日08点已下架 开发者_ LIT版本记录_2025-04-18.csv
343200656,Angry Birds Classic 2020年12月28日16点已下架 经典的弹弓弹小鸟游戏 开版本记录_2025-04-18.csv
353410847,桌上冰球黄金版 - Air Hockey Gold 开发者_ Acceleroto版本记录_2025-04-18.csv
354902315,Zynga Poker - 德州扑克游戏 2020年07月30日16点已下架 开发者_ Zynga 版本记录_2025-04-18.csv
357538314,PopStar! 消灭星星Lite 2022年04月07日17点已下架 开发者_ Zplay (Be版本记录_2025-04-18.csv
359917414,纸牌接龙 2020年12月31日04点已下架 经典趣味接龙纸牌游戏 开发者_ MobilityWar版本记录_2025-04-18.csv
362464325,The World of Magic 2020年12月31日05点已下架 开发者_ Com2uS C版本记录_2025-04-18.csv
364221870,网球精英2 2020年12月31日04点已下架 开发者_ Focused Apps LLC版本记录_2025-04-18.csv
364234221,Angry Birds Classic HD 2020年12月28日16点已下架 经典的弹弓弹小鸟游版本记录_2025-04-18.csv
366247306,▻数独 2024年03月12日07点已下架 最佳游戏，经典游戏 _) 开发者_ PeopleFun 版本记录_2025-04-18.csv
370070561,Monster Dash 2018年05月24日12点已下架 开发者_ Halfbrick Stud版本记录_2025-04-18.csv
370339723,德州扑克 - Pokerist 2020年12月31日04点已下架 #1 Poker 开发者_ Ka版本记录_2025-04-18.csv
372567714,Logo Quiz Free 2020年12月31日04点已下架 开发者_ Jinfra版本记录_2025-04-18.csv
372576327,Logo Quiz 2020年12月31日04点已下架 开发者_ June Gaming版本记录_2025-04-18.csv
375149734,Mahjong Titan_ Majong 2020年12月31日04点已下架 开发者_ Krist版本记录_2025-04-18.csv
375276782,Guess the Movie _ 2020年12月31日04点已下架 开发者_ June Gami版本记录_2025-04-18.csv
376098160,气泡爆炸 - Bubble Explode 2020年12月31日04点已下架 Pop and Sh版本记录_2025-04-18.csv
376374689,Doodle God™ (涂鸦上帝) 2020年12月31日04点已下架 开发者_ JoyBits 版本记录_2025-04-18.csv
378272700,愛麗絲夢遊仙境 - 寻物解谜大冒险 开发者_ Crisp App Studio版本记录_2025-04-18.csv
379254880,QQ斗地主 HD 2021年09月08日03点已下架 开发者_ Tencent Technology版本记录_2025-04-18.csv
379471852,NinJump™ 2018年03月03日04点已下架 无尽的忍者亚军 开发者_ Backflip S版本记录_2025-04-18.csv
384200512,Jumbline 2 开发者_ Brainium Studios LLC版本记录_2025-04-18.csv
385758604,宽立象棋 中国象棋在线 开发者_ CronlyGames Inc.版本记录_2025-04-18.csv
388062475,Mahjong Deluxe Go 2018年06月06日10点已下架 开发者_ EnsenaSof版本记录_2025-04-18.csv
390364604,Drift Mania Championship Lite 2020年12月31日04点已下架 开发版本记录_2025-04-18.csv
391855805,Spider Solitaire MobilityWare 2020年12月31日04点已下架 开发版本记录_2025-04-18.csv
392936881,31点 纸牌游戏 开发者_ LITE Games GmbH版本记录_2025-04-18.csv
395979574,蜘蛛接龙游戏 2020年12月31日04点已下架 Play Classic Spider Solit版本记录_2025-04-18.csv
399648212,蓝 精灵 村 (Smurfs‘ Village) 2020年12月31日04点已下架 小小村庄。大选版本记录_2025-04-18.csv
400201466,Online Soccer Manager (OSM) 2020年12月31日04点已下架 开发者_版本记录_2025-04-18.csv
400851160,BaccaratMan 2020年12月31日04点已下架 开发者_ GameSpring版本记录_2025-04-18.csv
402115189,모두의오목 2017年03月13日12点已下架 开发者_ FREEON版本记录_2025-04-18.csv
402370879,NBA JAM by EA SPORTS™ 2016年03月30日07点已下架 开发者_ Elect版本记录_2025-04-18.csv
403858572,水果忍者® - 爽快切水果 2020年12月31日04点已下架 切出一场多汁的风暴！ 开发者_ Ha版本记录_2025-04-18.csv
403941510,天天象棋-私教系统上线 拥有棋友公认的棋力评测系统 开发者_ Shenzhen Tencent Ti版本记录_2025-04-18.csv
404073302,Ms. PAC-MAN Lite 2017年06月28日10点已下架 开发者_ BANDAI NAM版本记录_2025-04-18.csv
404242044,Checkers 10x10 2017年04月27日20点已下架 开发者_ Itchigoo版本记录_2025-04-18.csv
